fuel,km_drove,location,model,owner,price,url
Diesel,71000 ,Delhi,Honda City VX(O) 1.5L i-DTEC Sunroof  2014,First Owner,600000,https://droom.in/product/honda-city-vxo-15l-i-dtec-sunroof-2014-5f2d176906724b5b7acca158
Diesel,65000 ,Delhi,Maruti Suzuki Ritz VDI BS IV 2011,First Owner,295500,https://droom.in/product/maruti-suzuki-ritz-vdi-bs-iv-2011-5f2d15c254f4ace809929052
Petrol,34692 ,Gurgaon,Hyundai Eon Magna 2012,First Owner,235000,https://droom.in/product/hyundai-eon-magna-2012-5f2cf8ff466e4bb007d754f1
Petrol + Cng,59000 ,Delhi,Maruti Suzuki Wagon R LXi CNG 2012,First Owner,294400,https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2012-5f2d177106724b137bcca14c
Petrol,58000 ,Delhi,Maruti Suzuki Wagon R LXi 2012,First Owner,269700,https://droom.in/product/maruti-suzuki-wagon-r-lxi-2012-5f2d1688878a5da20a81233b
Diesel,12000 ,Mumbai,Audi A6 2.0 TDI 2013,First Owner,2100000,https://droom.in/product/audi-a6-20-tdi-2013-5f2df68ac5865d800ad88171
Diesel,36000 ,Jaipur,Mercedes-Benz C-Class 220 CDI 2011,First Owner,1100000,https://droom.in/product/mercedes-benz-c-class-220-cdi-2011-5f2e3b3064865d090ce3ae59
Diesel,28000 ,Jaipur,Ford Endeavour Hurricane LE 2013,First Owner,800000,https://droom.in/product/ford-endeavour-hurricane-le-2013-5f2e7bb8d880add60926246a
Petrol,98000 ,Jaipur,Honda City 1.5 V MT 2015,First Owner,550000,https://droom.in/product/honda-city-15-v-mt-2015-5f2e7f4064865d950ae3af39
Petrol,74000 ,Jaipur,Honda Jazz 1.2 E i-VTEC 2016,First Owner,600000,https://droom.in/product/honda-jazz-12-e-i-vtec-2016-5f2e7d8ef5f3ac4a08db07b5
Diesel,79000 ,Ahmedabad,BMW X1 sDrive20d 2012,First Owner,1400000,https://droom.in/product/bmw-x1-sdrive20d-2012-5f2e419abd714bc50a64887b
Diesel,65000 ,Delhi,Toyota Fortuner 2.8 4x2 AT 2018,First Owner,3000000,https://droom.in/product/toyota-fortuner-28-4x2-at-2018-5f2e32e99af4acdc0b79ce84
Petrol,25000 ,Jaipur,Maruti Suzuki Ertiga ZXi Plus 2015,First Owner,600000,https://droom.in/product/maruti-suzuki-ertiga-zxi-plus-2015-5f2e42a5bd714b870b648852
Petrol,2000 ,Jaipur,Maruti Suzuki Baleno Zeta 1.2 2016,First Owner,520000,https://droom.in/product/maruti-suzuki-baleno-zeta-12-2016-5f2e78ef7880ad870abca1c7
Petrol,36000 ,Jaipur,Toyota Innova 2.0 G 8 STR BS IV 2015,First Owner,800000,https://droom.in/product/toyota-innova-20-g-8-str-bs-iv-2015-5f2e4033c68a5d88068b4570
Petrol,13655 ,Delhi,Kia Seltos GTX AT 1.4 Petrol 2020,First Owner,1620000,https://droom.in/product/kia-seltos-gtx-at-14-petrol-2020-5e77a1713881ad36081d7852
Petrol,7863 ,Delhi,Kia Seltos GTX Plus 1.4 Petrol 2020,First Owner,1620000,https://droom.in/product/kia-seltos-gtx-plus-14-petrol-2020-5e77a70c3881ad87081d7853
Diesel,51000 ,Mumbai,Jaguar XE Prestige Diesel 2019,First Owner,3850000,https://droom.in/product/jaguar-xe-prestige-diesel-2019-5f27f2ad3280ad0708d4ad5e
Diesel,18522 ,Mumbai,BMW X3 xDrive 30d M Sport 2017,First Owner,4200000,https://droom.in/product/bmw-x3-xdrive-30d-m-sport-2017-5f27e4b463f4cedf07900cdb
Petrol,58000 ,Jaipur,Hyundai Creta 1.6 E Petrol 2017,First Owner,700000,https://droom.in/product/hyundai-creta-16-e-petrol-2017-5f2e44fa03724b8a068b4576
Petrol,58000 ,Jaipur,Hyundai Creta 1.6 E Petrol 2017,First Owner,700000,https://droom.in/product/hyundai-creta-16-e-petrol-2017-5f2e44fa03724b8a068b4576
Diesel,25000 ,Jaipur,Hyundai Creta 1.6 SX Diesel 2015,First Owner,800000,https://droom.in/product/hyundai-creta-16-sx-diesel-2015-5f2e477206724b645018e7de
Diesel,42914 ,Bangalore,Mahindra XUV500 W6 2017,First Owner,1199000,https://droom.in/product/mahindra-xuv500-w6-2017-5f2d43de06724b557acca1a7
Diesel,50000 ,Jalandhar,Mahindra XUV500 W10 2015,First Owner,1090000,https://droom.in/product/mahindra-xuv500-w10-2015-5f2ea1a7c68a5dc90c43fea8
Diesel,49406 ,Pune,Honda City V i-DTEC 2015,First Owner,710000,https://droom.in/product/honda-city-v-i-dtec-2015-5ee1c27fd680adb10d129c9c
Diesel,46632 ,Ludhiana,Mercedes-Benz GLE 250 d 2018,First Owner,5000000,https://droom.in/product/mercedes-benz-gle-250-d-2018-5e5829f2e38a5d6f0927b3f0
Petrol,65000 ,Mumbai,Porsche Boxster S 2012,First Owner,4500000,https://droom.in/product/porsche-boxster-s-2012-5f27edd106724bb345c293b4
Diesel,50509 ,Gurgaon,Maruti Suzuki Ciaz ZDi+ SHVS 2016,First Owner,685000,https://droom.in/product/maruti-suzuki-ciaz-zdi-shvs-2016-5f2cf91306724b626bcca175
Diesel,69000 ,Jaipur,Mercedes-Benz C-Class C 220 CDI Style 2016,First Owner,2500000,https://droom.in/product/mercedes-benz-c-class-c-220-cdi-style-2016-5f2f9859c6865df30774a267
Diesel,45624 ,Delhi,Ford Endeavour Titanium 3.2 4x4 AT 2017,First Owner,2800000,https://droom.in/product/ford-endeavour-titanium-32-4x4-at-2017-5f3043dadf6d4b630b9b4543
Petrol,64724 ,Delhi,Toyota Fortuner 2.7 4x2 MT 2018,First Owner,2850000,https://droom.in/product/toyota-fortuner-27-4x2-mt-2018-5f3040d73b81ada209c56edd
Petrol,69874 ,Delhi,Toyota Fortuner 2.7 4x2 MT 2018,First Owner,2700000,https://droom.in/product/toyota-fortuner-27-4x2-mt-2018-5f3026aff680ad2e0fa511c9
Diesel,84107 ,Delhi,Toyota Fortuner 2.8 4x2 AT 2017,First Owner,2500000,https://droom.in/product/toyota-fortuner-28-4x2-at-2017-5f30482cc6865d760f9b454a
Diesel,57486 ,Delhi,Toyota Fortuner Sigma 4 2017,First Owner,2950000,https://droom.in/product/toyota-fortuner-sigma-4-2017-5f3028e7e1714b990db0867e
Diesel,9000 ,Jaipur,Jeep Compass Limited 2.0 Diesel 2018,First Owner,1700000,https://droom.in/product/jeep-compass-limited-20-diesel-2018-5f2f9c09c6865dd50774a265
Petrol,50000 ,Pune,Ford Fiesta STYLE PETROL AT 2013,First Owner,325000,https://droom.in/product/ford-fiesta-style-petrol-at-2013-5ee1c267a26d4b8b0e129c8a
Petrol,9632 ,Delhi,Kia Seltos GTX Plus 1.4 Petrol 2020,First Owner,1621000,https://droom.in/product/kia-seltos-gtx-plus-14-petrol-2020-5e76e84ea38a5d2e161ad414
Petrol,11969 ,Delhi,BMW 3 Series 330i M Sport 2020,First Owner,4865000,https://droom.in/product/bmw-3-series-330i-m-sport-2020-5e705bf7c4865d98068b4579
Petrol,8866 ,Delhi,MG Hector Sharp 1.5 DCT Petrol 2020,First Owner,1725000,https://droom.in/product/mg-hector-sharp-15-dct-petrol-2020-5e777284a48a5d16086f5dce
Petrol,7596 ,Delhi,MG Hector Sharp 1.5 DCT Petrol 2020,First Owner,1725000,https://droom.in/product/mg-hector-sharp-15-dct-petrol-2020-5e7774d0de714b7c068b4574
Petrol,7863 ,Delhi,Kia Seltos GTX Plus 1.4 Petrol 2020,First Owner,1620000,https://droom.in/product/kia-seltos-gtx-plus-14-petrol-2020-5e77a70c3881ad87081d7853
Diesel,46632 ,Ludhiana,Mercedes-Benz GLE 250 d 2018,First Owner,5000000,https://droom.in/product/mercedes-benz-gle-250-d-2018-5e5829f2e38a5d6f0927b3f0
Diesel,50509 ,Gurgaon,Maruti Suzuki Ciaz ZDi+ SHVS 2016,First Owner,685000,https://droom.in/product/maruti-suzuki-ciaz-zdi-shvs-2016-5f2cf91306724b626bcca175
